time,Constrained Defence Spending,Cumulative Defence Spending,rate of orders fulfilled,rate of expenses,Cumulative Earnings,stress_to_willingness,delay,shock,shock_pct
21.5,33.480395187499994,911.2687500000001,4.987166569528577,4.551728952197362,7.376618349365092,1.0,1,0.0,0%
21.75,33.346067087499996,922.8587500000001,5.012906035159694,4.574233834075295,7.452819932398055,1.0,1,0.0,0%
22.0,33.2117389875,934.4487500000001,5.032321854891682,4.590959550447479,7.529587567587824,1.0,1,0.0,0%
22.25,33.077410887499994,946.0387500000002,5.046848670029813,4.603218370240559,7.606825970865559,1.0,1,0.0,0%
22.5,32.943082787499996,957.6287500000002,5.057582618174342,4.612012750502318,7.684461273328679,1.0,1,0.0,0%
22.75,32.8087546875,969.2187500000002,5.065361386227605,4.618108654343819,7.762436000171283,1.0,1,0.0,0%
23.0,32.674426587499994,980.8087500000003,5.070825329129894,4.62209151557287,7.840705228250945,1.0,1,0.0,0%
23.25,32.54009848749999,992.3987500000003,5.074464132722972,4.624408957329747,7.919233645623424,1.0,1,0.0,0%
23.5,32.452,1003.9887500000003,5.076652439893327,4.625403399886974,7.997993301317239,1.0,1,0.0,0%
23.75,32.452,1015.5787500000004,5.077677050437375,4.625336950721396,8.07696188331835,1.0,1,0.0,0%
24.0,32.452,1027.1687500000003,5.077779791193251,4.624430533655726,8.156121400768647,1.0,1,0.0,0%
1.0,43.03,0.0,2.52,2.0916,2.0,1.0,1,0.1,10%
1.25,42.7985523875,10.7575,2.52,2.10839538,2.07497,1.0,1,0.1,10%
1.5,42.567104775000004,21.515,2.52983625,2.13348596143375,2.1470008085,1.0,1,0.1,10%
1.75,42.335657162500006,32.2725,2.5469628946453122,2.164904452152595,2.216362108999094,1.0,1,0.1,10%
2.0,42.10420955,43.03,2.569445951794922,2.20113985610067,2.2832223364353195,1.0,1,0.1,10%
2.25,41.8727619375,53.7875,2.595816708856453,2.228708955075965,2.3476759031818135,1.0,1,0.1,10%
2.5,41.641314324999996,64.545,2.6249602403543646,2.2587651620237286,2.411919760093399,1.0,1,0.1,10%
2.75,41.4098667125,75.30250000000001,2.6560306329322194,2.290594903567202,2.4760038988012605,1.0,1,0.1,10%
3.0,41.1784191,86.06,2.6883865196365995,3.453062320900492,2.5399551514401386,1.0,1,0.1,10%
3.25,40.9469714875,96.8175,2.7215420580997414,2.3610676890347997,2.4061368862189574,1.0,1,0.1,10%
3.5,40.715523875,107.57499999999999,2.7551296528105063,2.399070012941265,2.469219900805322,1.0,1,0.1,10%
3.75,40.484076262500004,118.33249999999998,2.7888716080061435,2.437423353302458,2.5315303377824394,1.0,1,0.1,10%
4.0,40.252628650000005,129.08999999999997,2.8225585717239703,2.475945556557695,2.5930337823555845,1.0,1,0.1,10%
4.25,40.172318428125,139.84749999999997,2.8560331440907625,2.537469779182307,2.653691060009683,1.0,1,0.1,10%
4.5,40.0893794640625,150.64562499999997,2.8985168196129494,2.6078535529421627,2.7094396488686625,1.0,1,0.1,10%
4.75,40.00380185546875,161.48437499999997,2.94784163315132,2.685426244889006,2.76030572053605,1.0,1,0.1,10%
